	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
30	-0.34712714	-0.3025478	-0.15816337	-1.5283201	0.39849585	0.28738612	0.6179246	1.0690327	2.3303912	1.530834	-0.11635967	0.9027701	-0.28502712	0.06367535	-1.0328224	-1.1657504	0.93812937	0.47631392	0.8099672	2.19095	-1.234593	-0.30105534	-0.41358837	-0.73064274	-0.78102195	1.0774902	-0.8892054	-0.06605567	-1.4088577	0.6603609	-1.7081331	0.614737	-0.3185291	-0.20859052	-0.44067818	0.26999548	-0.66932464	-0.9785729	1.5656736	-0.9805922	1.3254079	-0.4449566	-0.1192258	0.46450436	0.4766408	-0.5005457	-1.48276	-0.7966634
31	-0.3733843	-0.32531086	-0.16269988	-1.5660115	0.42914718	0.2739774	0.65625435	1.1222625	2.4348683	1.6273074	-0.12366147	0.9413102	-0.28239447	0.06096011	-1.06793	-1.2377076	0.92571336	0.51686156	0.85658735	2.2994564	-1.2777859	-0.3129707	-0.39940304	-0.7657331	-0.83534133	1.1227137	-0.9449144	-0.063848644	-1.4582404	0.7022265	-1.7690406	0.6393139	-0.34836584	-0.24779566	-0.488615	0.28821164	-0.7261621	-1.0178407	1.6186104	-1.0733635	1.4066399	-0.4348159	-0.09897128	0.48496264	0.5015308	-0.5444986	-1.5865259	-0.8063037
32	-0.36657372	-0.30879235	-0.15153685	-1.5683695	0.40610492	0.24947271	0.63284904	1.0916532	2.3544197	1.5452822	-0.12122886	0.9225456	-0.3220058	0.056320857	-1.0814545	-1.1922212	0.92408603	0.47512534	0.8228821	2.195971	-1.274536	-0.29682785	-0.4156234	-0.72175145	-0.7965879	1.1133441	-0.9261809	-0.07278728	-1.413562	0.6745455	-1.7245792	0.65130705	-0.35734296	-0.19952051	-0.45089567	0.2607003	-0.71098316	-0.994806	1.5852242	-0.9974377	1.3695318	-0.44206434	-0.1016038	0.47826353	0.49264368	-0.5399407	-1.5020993	-0.8047402
33	-0.3419711	-0.30456328	-0.14454713	-1.4691298	0.3896334	0.25737017	0.61127925	1.0308604	2.2717323	1.5011127	-0.1355957	0.8601703	-0.2967048	0.050489824	-0.98665696	-1.1580572	0.8480313	0.49619314	0.809893	2.1570108	-1.1910487	-0.30134314	-0.37923118	-0.71553135	-0.7868939	1.033427	-0.87294304	-0.039523438	-1.3564012	0.66223586	-1.6703097	0.60121554	-0.32931036	-0.2683798	-0.44636488	0.26433513	-0.6703027	-0.9678979	1.5221941	-1.0213445	1.3291935	-0.38335907	-0.08615904	0.47820124	0.45144695	-0.5097984	-1.47056	-0.742017
34	-0.26987922	-0.2212841	-0.14878435	-1.3534787	0.3504107	0.29593846	0.5544348	0.95429605	2.130781	1.4701537	-0.104297705	0.89478344	-0.18976891	0.057755973	-0.9394359	-1.0881045	0.8908502	0.45336264	0.7816849	2.028635	-1.0935835	-0.278741	-0.3353729	-0.6549304	-0.7419241	0.9954262	-0.8155617	-0.060463507	-1.3097913	0.64560014	-1.554788	0.5341436	-0.27251676	-0.17620361	-0.4596214	0.28010753	-0.5952216	-0.87131166	1.4701805	-0.889534	1.2030585	-0.39859635	-0.13673098	0.405869	0.41925195	-0.4852838	-1.4418119	-0.703726
35	-0.3406367	-0.28136507	-0.16598833	-1.6038909	0.40431473	0.28559905	0.6421942	1.0985363	2.4268918	1.5936981	-0.12652357	0.9612745	-0.31729916	0.0567821	-1.0777934	-1.2138692	0.9597478	0.5065497	0.8739775	2.2896855	-1.2975966	-0.31322125	-0.41481805	-0.74096054	-0.8357205	1.1064855	-0.9184644	-0.070290014	-1.465889	0.7038875	-1.7702836	0.6282188	-0.3399632	-0.20988314	-0.49770683	0.2717822	-0.7092463	-1.0024676	1.6356311	-1.0239897	1.3780096	-0.45981696	-0.13525747	0.48317757	0.4985567	-0.55332303	-1.5845565	-0.8226842
36	-0.34673417	-0.3010833	-0.15455855	-1.5155898	0.3975193	0.24356914	0.6258182	1.0590498	2.3089604	1.5128325	-0.10396338	0.9094814	-0.27966502	0.039662085	-1.0427517	-1.1479725	0.8874624	0.47917455	0.8133458	2.1666865	-1.2302424	-0.2756211	-0.371426	-0.71146643	-0.7832185	1.0784947	-0.9110446	-0.058710266	-1.3623462	0.6387936	-1.6919688	0.6259534	-0.34618923	-0.19614372	-0.46385396	0.24101275	-0.6921049	-0.9787279	1.555218	-0.9751625	1.335665	-0.42895386	-0.07789792	0.47991574	0.48472723	-0.5279537	-1.4868424	-0.79184324
37	-0.37751237	-0.33940846	-0.12570713	-1.5684773	0.432394	0.262887	0.6440747	1.106324	2.3884087	1.5776894	-0.12921949	0.92367566	-0.2901362	0.07414186	-1.0812571	-1.1886641	0.9161917	0.4759448	0.8290582	2.2557337	-1.2996368	-0.31391189	-0.40810835	-0.7639765	-0.8016646	1.1197357	-0.93869716	-0.074162684	-1.4393637	0.68052477	-1.7557169	0.6628756	-0.3337587	-0.23001982	-0.4527255	0.293435	-0.70697784	-1.0053402	1.6066129	-1.032726	1.3849479	-0.45350274	-0.09012894	0.47551852	0.49733952	-0.50794035	-1.5097983	-0.80736417
38	-0.35264105	-0.2985482	-0.16999568	-1.5441144	0.3913152	0.28115487	0.63257974	1.092087	2.355786	1.5715586	-0.120447814	0.9382508	-0.2807612	0.05672348	-1.0673952	-1.2155477	0.9307657	0.5042374	0.8521076	2.2346015	-1.2341381	-0.28723153	-0.40406314	-0.7143856	-0.820819	1.13025	-0.92786336	-0.045143444	-1.4159845	0.6809336	-1.7284642	0.62641	-0.3410371	-0.20809396	-0.4730932	0.2844597	-0.7075066	-0.9963605	1.5997161	-1.0144211	1.3533942	-0.42401648	-0.12295617	0.48630476	0.46650615	-0.5443339	-1.5519878	-0.8005666
39	-0.28686035	-0.24897362	-0.14915203	-1.3891921	0.36383566	0.28624868	0.5618565	0.9733792	2.1577842	1.453063	-0.094549626	0.8651392	-0.23194148	0.054884687	-0.94088596	-1.0861145	0.8839499	0.45638812	0.7747373	2.0500824	-1.1195233	-0.27942395	-0.3614089	-0.6777712	-0.73685884	0.9867169	-0.8142599	-0.056816142	-1.3078618	0.62946093	-1.5802603	0.5433659	-0.28024513	-0.19335516	-0.4393252	0.25830626	-0.6033036	-0.886961	1.4697014	-0.90754527	1.2142142	-0.40457883	-0.12196258	0.4302112	0.4319052	-0.47767904	-1.4227151	-0.72276455
40	-0.3478804	-0.308856	-0.12731956	-1.4434768	0.39086074	0.23914286	0.59112	1.0223637	2.2144625	1.4717451	-0.103292786	0.8739892	-0.26907605	0.043927103	-1.0211406	-1.1119986	0.86451155	0.44026032	0.7851316	2.0737631	-1.1894108	-0.2763608	-0.3777118	-0.6913728	-0.7439862	1.0640386	-0.87683547	-0.06556206	-1.3293042	0.6295152	-1.6389581	0.6032599	-0.31491414	-0.1928623	-0.42749694	0.25684854	-0.6525452	-0.93661684	1.499954	-0.93335426	1.2903032	-0.42187566	-0.08853149	0.46672013	0.45396134	-0.49624208	-1.3959016	-0.7485458
41	-0.3414392	-0.28465208	-0.15496184	-1.4948326	0.38219023	0.25270253	0.61687195	1.0456208	2.263848	1.4948916	-0.10421685	0.90312064	-0.26271424	0.03885247	-1.0603398	-1.1325667	0.8837678	0.44629264	0.81644815	2.1086328	-1.2048757	-0.27946338	-0.37572175	-0.67800057	-0.770692	1.0741178	-0.8893372	-0.08216145	-1.3535838	0.6390562	-1.671076	0.606579	-0.32830468	-0.17289022	-0.46957883	0.2501277	-0.65479463	-0.9592044	1.518639	-0.92372215	1.3018156	-0.44698405	-0.110244475	0.46307063	0.47751144	-0.5185741	-1.433176	-0.77114946
42	-0.38556603	-0.33072877	-0.16250432	-1.6067866	0.42430308	0.2759072	0.6607185	1.1367387	2.4424698	1.5993854	-0.1440254	0.93814427	-0.29378438	0.06475426	-1.124453	-1.2121371	0.94689184	0.47545898	0.82804453	2.2560697	-1.3121101	-0.3282594	-0.4208852	-0.75503755	-0.8108591	1.1444861	-0.9642525	-0.088737145	-1.467879	0.68493444	-1.803486	0.68422335	-0.3564528	-0.19725405	-0.463306	0.28704047	-0.7082894	-1.0317221	1.6260474	-1.0266281	1.4047753	-0.49278507	-0.11179444	0.4709232	0.50597596	-0.52588534	-1.5128546	-0.83295053
